provincia;votos_tipo;votos
Ciudad Autónoma de Buenos Aires;EN BLANCO;32311
Buenos Aires;RECURRIDO;3387
Buenos Aires;COMANDO;8427
Corrientes;IMPUGNADO;98
Río Negro;RECURRIDO;275
Río Negro;COMANDO;477
Santa Fe;COMANDO;877
La Rioja;NULO;1655
Santiago del Estero;IMPUGNADO;121
Santa Fe;RECURRIDO;321
Tierra del Fuego;NULO;1786
Catamarca;EN BLANCO;12804
Mendoza;COMANDO;216
Mendoza;RECURRIDO;511
Corrientes;NULO;6781
Córdoba;RECURRIDO;484
Córdoba;COMANDO;136
Misiones;EN BLANCO;20570
Neuquén;EN BLANCO;11918
Formosa;EN BLANCO;4675
La Rioja;IMPUGNADO;14
San Luis;RECURRIDO;270
San Luis;COMANDO;38
Santiago del Estero;NULO;3985
Tierra del Fuego;IMPUGNADO;67
Ciudad Autónoma de Buenos Aires;NULO;15367
Catamarca;IMPUGNADO;49
Misiones;IMPUGNADO;57
Neuquén;IMPUGNADO;23
Chubut;COMANDO;73
Chubut;RECURRIDO;305
Formosa;IMPUGNADO;24
Jujuy;COMANDO;18
La Rioja;EN BLANCO;3606
Jujuy;RECURRIDO;252
Tierra del Fuego;EN BLANCO;1588
Catamarca;RECURRIDO;157
Catamarca;COMANDO;435
Entre Ríos;NULO;8455
Mendoza;EN BLANCO;18862
Córdoba;EN BLANCO;17852
Neuquén;RECURRIDO;301
Misiones;RECURRIDO;250
Salta;NULO;7219
Chubut;IMPUGNADO;18
Neuquén;COMANDO;105
Chaco;NULO;3841
Misiones;COMANDO;99
Formosa;COMANDO;118
La Pampa;NULO;2154
San Juan;NULO;4273
Jujuy;IMPUGNADO;64
Tucumán;NULO;8661
Santa Cruz;NULO;3103
San Luis;EN BLANCO;5867
Formosa;RECURRIDO;123
Ciudad Autónoma de Buenos Aires;RECURRIDO;485
Ciudad Autónoma de Buenos Aires;COMANDO;1710
Buenos Aires;EN BLANCO;269648
Entre Ríos;IMPUGNADO;87
La Pampa;IMPUGNADO;7
Santa Fe;EN BLANCO;18791
Río Negro;EN BLANCO;12923
Salta;IMPUGNADO;260
Chubut;NULO;5416
Chaco;IMPUGNADO;38
San Juan;IMPUGNADO;31
Jujuy;NULO;4606
Tucumán;IMPUGNADO;69
Santa Cruz;IMPUGNADO;24
Buenos Aires;NULO;63865
Córdoba;IMPUGNADO;180
Mendoza;IMPUGNADO;72
Río Negro;NULO;6592
Chubut;EN BLANCO;4502
La Rioja;COMANDO;40
Jujuy;EN BLANCO;6253
La Rioja;RECURRIDO;57
San Luis;IMPUGNADO;31
Santa Fe;NULO;24935
Tierra del Fuego;RECURRIDO;82
Tierra del Fuego;COMANDO;10
Buenos Aires;IMPUGNADO;1481
Corrientes;COMANDO;408
Corrientes;RECURRIDO;369
Córdoba;NULO;18869
Entre Ríos;EN BLANCO;37352
La Pampa;EN BLANCO;2058
Mendoza;NULO;15031
Santa Fe;IMPUGNADO;73
Río Negro;IMPUGNADO;35
Salta;EN BLANCO;8529
Chaco;EN BLANCO;7960
Santiago del Estero;RECURRIDO;218
Santiago del Estero;COMANDO;650
San Luis;NULO;3412
Tucumán;EN BLANCO;22416
Santa Cruz;EN BLANCO;11268
San Juan;EN BLANCO;6474
Ciudad Autónoma de Buenos Aires;IMPUGNADO;183
Catamarca;NULO;1766
Entre Ríos;COMANDO;815
Entre Ríos;RECURRIDO;462
Corrientes;EN BLANCO;7879
La Pampa;RECURRIDO;57
Misiones;NULO;4215
La Pampa;COMANDO;52
Salta;RECURRIDO;855
Salta;COMANDO;401
Neuquén;NULO;6864
Chaco;COMANDO;386
Chaco;RECURRIDO;741
San Juan;RECURRIDO;278
San Juan;COMANDO;67
Santiago del Estero;EN BLANCO;8055
Tucumán;COMANDO;238
Formosa;NULO;2013
Santa Cruz;COMANDO;169
Santa Cruz;RECURRIDO;105
Tucumán;RECURRIDO;516
